sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
106215	ET_Cnat_60_2019	19482	11743	223	11701	218	0	0	42	5	11073	29	0	981	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Colpophyllia	natans	18.30018900	64.71677400	2018.07.24	8.0
106202	CH_Cnat_12_2018	47557	32204	482	31733	465	0	0	471	17	29760	24	0	2652	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Colpophyllia	natans	18.30011200	64.71675200	2018.08.15	8.9
106140	ET_Cnat_33_2017	38620	25720	569	25388	549	0	0	332	20	23115	31	0	2931	5	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Colpophyllia	natans	18.30018900	64.71677400	2017.07.31	7.7
106214	ET_Cnat_33_2019	25122	15777	443	15476	425	0	0	301	18	13552	35	0	2267	5	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Colpophyllia	natans	18.30018900	64.71677400	2019.07.24	7.7
106199	ET_Cnat_52_2018	32180	21791	420	21764	419	27	1	0	0	20923	23	0	141	2014	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Colpophyllia	natans	18.30018900	64.71677400	2018.08.13	9.5
106136	WP_Cnat_29_2017	33857	21584	512	21563	510	21	2	0	0	20041	32	0	14	2628	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Colpophyllia	natans	18.30025300	64.71693500	2017.07.30	8.6
106189	ET_Pstr_45_2018	25051	16880	339	16854	337	26	2	0	0	16053	25	0	0	2412	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Pseudodiploria	strigosa	18.30018900	64.71677400	2018.08.13	9.5
106229	ET_Pstr_45_2019	28314	19087	314	19083	313	4	1	0	0	18360	25	0	0	2337	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Pseudodiploria	strigosa	18.30018900	64.71677400	2019.07.24	9.5
106152	ET_Pstr_45_2017	19152	11841	321	11836	320	5	1	0	0	11057	22	0	0	1807	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Pseudodiploria	strigosa	18.30018900	64.71677400	2017.07.31	9.5
106236	CH_Cnat_48_2019	24997	15805	310	15786	309	19	1	0	0	15067	23	0	0	2418	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Colpophyllia	natans	18.30011200	64.71675200	2019.07.27	7.7
106211	CH_Cnat_48_2018	55662	39215	687	39159	684	56	3	0	0	37093	45	0	4	5812	15	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Colpophyllia	natans	18.30011200	64.71675200	2018.08.15	7.7
