PLUG.ID,sample_name,Site.Name,TIME.POINT,Species,collection_date
ET_Pstr_42_2018,ET_Pstr_42_2018,EastTektite,2018,Pseudodiploria strigosa,2018.08.13
ET_Pstr_45_2018,ET_Pstr_45_2018,EastTektite,2018,Pseudodiploria strigosa,2018.08.13
ET_Ssid_44_2018,ET_Ssid_44_2018,EastTektite,2018,Siderastrea siderea,2018.08.13
ET_Ssid_41_2018,ET_Ssid_41_2018,EastTektite,2018,Siderastrea siderea,2018.08.13
ET_Dlab_37_2018,ET_Dlab_37_2018,EastTektite,2018,Diploria labrynthiformis,2018.08.13
ET_Cnat_61_2018,ET_Cnat_61_2018,EastTektite,2018,Colpophyllia natans,2018.08.13
ET_Dlab_62_2018,ET_Dlab_62_2018,EastTektite,2018,Diploria labrynthiformis,2018.08.13
ET_Mcav_34_2018,ET_Mcav_34_2018,EastTektite,2018,Montastraea cavernosa,2018.08.13
ET_Pstr_54_2018,ET_Pstr_54_2018,EastTektite,2018,Pseudodiploria strigosa,2018.08.13
ET_Cnat_33_2018,ET_Cnat_33_2018,EastTektite,2018,Colpophyllia natans,2018.08.15
ET_Dlab_36_2018,ET_Dlab_36_2018,EastTektite,2018,Diploria labrynthiformis,2018.08.13
ET_Cnat_52_2018,ET_Cnat_52_2018,EastTektite,2018,Colpophyllia natans,2018.08.13
ET_Cnat_60_2018,ET_Cnat_60_2018,EastTektite,2018,Colpophyllia natans,2018.08.13
CH_Mcav_06_2018,CH_Mcav_06_2018,CabritteHorn,2018,Montastraea cavernosa,2018.08.15
CH_Cnat_12_2018,CH_Cnat_12_2018,CabritteHorn,2018,Colpophyllia natans,2018.08.15
CH_Cnat_05_2018,CH_Cnat_05_2018,CabritteHorn,2018,Colpophyllia natans,2018.08.15
ET_Ofra_40_2018,ET_Ofra_40_2018,EastTektite,2018,Orbicella franksi,2018.08.13
ET_Mcav_39_2018,ET_Mcav_39_2018,EastTektite,2018,Montastraea cavernosa,2018.08.13
CH_Dlab_50_2018,CH_Dlab_50_2018,CabritteHorn,2018,Diploria labrynthiformis,2018.08.15
CH_Ssid_07_2018,CH_Ssid_07_2018,CabritteHorn,2018,Siderastrea siderea,2018.08.15
CH_Mcav_49_2018,CH_Mcav_49_2018,CabritteHorn,2018,Montastraea cavernosa,2018.08.15
CH_Ofav_47_2018,CH_Ofav_47_2018,CabritteHorn,2018,Orbicella faveolata,2018.08.15
CH_Cnat_48_2018,CH_Cnat_48_2018,CabritteHorn,2018,Colpophyllia natans,2018.08.15
CH_Oann_80_2018,CH_Oann_80_2018,CabritteHorn,2018,Orbicella annularis,2018.08.15
ET_Dlab_62_2019,ET_Dlab_62_2019,EastTektite,2018,Diploria labrynthiformis,2019.07.24
ET_Cnat_33_2019,ET_Cnat_33_2019,EastTektite,2018,Colpophyllia natans,2019.07.24
ET_Cnat_60_2019,ET_Cnat_60_2019,EastTektite,2018,Colpophyllia natans,2018.07.24
CH_Pstr_10_2018,CH_Pstr_10_2018,CabritteHorn,2018,Pseudodiploria strigosa,2018.08.15
CH_Mcav_58_2018,CH_Mcav_58_2018,CabritteHorn,2018,Montastraea cavernosa,2018.08.15
CH_Ofra_81_2018,CH_Ofra_81_2018,CabritteHorn,2018,Orbicella franksi,2018.08.15
CH_Ssid_46_2018,CH_Ssid_46_2018,CabritteHorn,2018,Siderastrea siderea,2018.08.16
CH_Ofav_03_2018,CH_Ofav_03_2018,CabritteHorn,2018,Orbicella faveolata,2018.08.15
CH_Dlab_13_2018,CH_Dlab_13_2018,CabritteHorn,2018,Diploria labrynthiformis,2018.08.15
ET_Cnat_61_2019,ET_Cnat_61_2019,EastTektite,2019,Colpophyllia natans,2019.07.24
ET_Mcav_34_2019,ET_Mcav_34_2019,EastTektite,2019,Montastraea cavernosa,2019.07.24
