host_id,year,sample_name,sample_name_incorrect,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date,collection_depth,host_site,collector
55,2018,ET_Mcav_55_2018,ET_Mcav_55_2018,PLATE2-B4-361_S109_L001_R1_001.fastq.gz,PLATE2-B4-361_S109_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300189,64.716774,2018.08.13,8.6,EastTektite,PeterEdmunds
55,2019,ET_Mcav_55_2019,ET_Mcav_55_2019,PLATE2-D9-13_S150_L001_R1_001.fastq.gz,PLATE2-D9-13_S150_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300189,64.716774,2019.07.24,8.6,EastTektite,BethLenz
19,2017,WP_Mcav_19_2017,WP_Mcav_19_2017,PLATE1-B7-25_S44_L001_R1_001.fastq.gz,PLATE1-B7-25_S44_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300253,64.716935,2017.07.30,8.5,WhitePoint,RossCunning
19,2019,WP_Mcav_19_2019,WP_Mcav_19_2019,PLATE2-G8-50_S145_L001_R1_001.fastq.gz,PLATE2-G8-50_S145_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300253,64.716935,2019.07.29,8.5,WhitePoint,BethLenz
25,2017,WP_Mcav_25_2017,WP_Mcav_25_2017,PLATE1-C1-31_S3_L001_R1_001.fastq.gz,PLATE1-C1-31_S3_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300253,64.716935,2017.07.30,9.2,WhitePoint,RossCunning
25,2019,WP_Mcav_25_2019,WP_Mcav_25_2019,PLATE2-H9-63_S154_L001_R1_001.fastq.gz,PLATE2-H9-63_S154_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300253,64.716935,2019.07.29,9.2,WhitePoint,BethLenz
69,2017,WP_Mcav_69_2017,WP_Mcav_69_2017,PLATE1-F7-88_S48_L001_R1_001.fastq.gz,PLATE1-F7-88_S48_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300253,64.716935,2017.08.03,9.5,WhitePoint,RossCunning
69,2019,WP_Mcav_69_2019,WP_Mcav_69_2019,PLATE2-G11-53_S169_L001_R1_001.fastq.gz,PLATE2-G11-53_S169_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300253,64.716935,2019.07.19,9.5,WhitePoint,BethLenz
70,2017,WP_Mcav_70_2017,WP_Mcav_70_2017,PLATE1-F8-89_S55_L001_R1_001.fastq.gz,PLATE1-F8-89_S55_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300253,64.716935,2017.08.03,8.3,WhitePoint,RossCunning
70,2019,WP_Mcav_70_2019,WP_Mcav/Pstr_70/16_2019,PLATE2-F12-41_S176_L001_R1_001.fastq.gz,PLATE2-F12-41_S176_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300253,64.716935,2019.07.29,8.3,WhitePoint,BethLenz
5,2017,CH_Cnat_05_2017,CH_Cnat_05_2017,PLATE1-A5-7_S29_L001_R1_001.fastq.gz,PLATE1-A5-7_S29_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300112,64.716752,2017.07.17,6.7,CabritteHorn,RossCunning
5,2018,CH_Cnat_05_2018,CH_Cnat_05_2018,PLATE2-B12-369_S172_L001_R1_001.fastq.gz,PLATE2-B12-369_S172_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300112,64.716752,2018.08.15,6.7,CabritteHorn,PeterEdmunds
5,2019,CH_Cnat_05_2019,CH_Cnat_05_2019,PLATE2-F2-31_S97_L001_R1_001.fastq.gz,PLATE2-F2-31_S97_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300112,64.716752,2019.07.27,6.7,CabritteHorn,BethLenz
12,2017,CH_Cnat_12_2017,CH_Cnat_12_2017,PLATE1-A12-16_S78_L001_R1_001.fastq.gz,PLATE1-A12-16_S78_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300112,64.716752,2017.07.30,8.9,CabritteHorn,RossCunning
12,2018,CH_Cnat_12_2018,CH_Cnat_12_2018,PLATE2-B11-368_S164_L001_R1_001.fastq.gz,PLATE2-B11-368_S164_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300112,64.716752,2018.08.15,8.9,CabritteHorn,PeterEdmunds
12,2019,CH_Cnat_12_2019,CH_Cnat_12_2019,PLATE2-F6-35_S129_L001_R1_001.fastq.gz,PLATE2-F6-35_S129_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300112,64.716752,2019.07.27,8.9,CabritteHorn,BethLenz
48,2017,CH_Cnat_48_2017,CH_Cnat_48_2017,PLATE1-D11-65_S74_L001_R1_001.fastq.gz,PLATE1-D11-65_S74_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300112,64.716752,2017.08.02,7.7,CabritteHorn,RossCunning
48,2018,CH_Cnat_48_2018,CH_Cnat_48_2018,PLATE2-B9-366_S148_L001_R1_001.fastq.gz,PLATE2-B9-366_S148_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300112,64.716752,2018.08.15,7.7,CabritteHorn,PeterEdmunds
48,2019,CH_Cnat_48_2019,CH_Cnat_48_2019,PLATE2-E10-27_S159_L001_R1_001.fastq.gz,PLATE2-E10-27_S159_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300112,64.716752,2019.07.27,7.7,CabritteHorn,BethLenz
33,2017,ET_Cnat_33_2017,ET_Cnat_33_2017,PLATE1-C9-46_S59_L001_R1_001.fastq.gz,PLATE1-C9-46_S59_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300189,64.716774,2017.07.31,7.7,EastTektite,RossCunning
33,2018,ET_Cnat_33_2018,ET_Cnat_33_2018,PLATE2-A7-352_S132_L001_R1_001.fastq.gz,PLATE2-A7-352_S132_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300189,64.716774,2018.08.15,7.7,EastTektite,PeterEdmunds
33,2019,ET_Cnat_33_2019,ET_Cnat_33_2019,PLATE2-C11-3_S165_L001_R1_001.fastq.gz,PLATE2-C11-3_S165_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300189,64.716774,2019.07.24,7.7,EastTektite,BethLenz
35,2017,ET_Cnat_35_2017,ET_Cnat_35_2017,PLATE1-C11-48_S73_L001_R1_001.fastq.gz,PLATE1-C11-48_S73_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300189,64.716774,2017.07.31,7.9,EastTektite,RossCunning
52,2017,ET_Cnat_52_2017,ET_Cnat_52_2017,PLATE1-E4-70_S26_L001_R1_001.fastq.gz,PLATE1-E4-70_S26_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300189,64.716774,2017.08.02,9.5,EastTektite,RossCunning
52,2018,ET_Cnat_52_2018,ET_Cnat_52_2018,PLATE2-A9-354_S147_L001_R1_001.fastq.gz,PLATE2-A9-354_S147_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300189,64.716774,2018.08.13,9.5,EastTektite,PeterEdmunds
52,2019,ET_Cnat_52_2019,ET_Cnat_52_2019,PLATE2-D11-15_S166_L001_R1_001.fastq.gz,PLATE2-D11-15_S166_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300189,64.716774,2019.07.24,9.5,EastTektite,BethLenz
60,2017,ET_Cnat_60_2017,ET_Cnat_60_2017,PLATE1-E10-79_S68_L001_R1_001.fastq.gz,PLATE1-E10-79_S68_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300189,64.716774,2017.08.02,8,EastTektite,RossCunning
60,2018,ET_Cnat_60_2018,ET_Cnat_60_2018,PLATE2-B1-358_S85_L001_R1_001.fastq.gz,PLATE2-B1-358_S85_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300189,64.716774,2018.08.13,8,EastTektite,PeterEdmunds
60,2019,ET_Cnat_60_2019,ET_Cnat_60_2019,PLATE2-C12-4_S173_L001_R1_001.fastq.gz,PLATE2-C12-4_S173_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300189,64.716774,2018.07.24,8,EastTektite,BethLenz
61,2017,ET_Cnat_61_2017,ET_Cnat_61_2017,PLATE1-E11-80_S75_L001_R1_001.fastq.gz,PLATE1-E11-80_S75_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300189,64.716774,2017.08.02,6.9,EastTektite,RossCunning
61,2018,ET_Cnat_61_2018,ET_Cnat_61_2018,PLATE2-A3-296_S100_L001_R1_001.fastq.gz,PLATE2-A3-296_S100_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300189,64.716774,2018.08.13,6.9,EastTektite,PeterEdmunds
61,2019,ET_Cnat_61_2019,ET_Cnat_61_2019,PLATE2-C9-1_S149_L001_R1_001.fastq.gz,PLATE2-C9-1_S149_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300189,64.716774,2019.07.24,6.9,EastTektite,BethLenz
29,2017,WP_Cnat_29_2017,WP_Cnat_29_2017,PLATE1-C5-38_S31_L001_R1_001.fastq.gz,PLATE1-C5-38_S31_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300253,64.716935,2017.07.30,8.6,WhitePoint,RossCunning
31,2017,WP_Cnat_31_2017,WP_Cnat_31_2017,PLATE1-C6-41_S38_L001_R1_001.fastq.gz,PLATE1-C6-41_S38_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,18.300253,64.716935,2017.07.30,7.1,WhitePoint,RossCunning
